sentences,label
"lisa , i 'm going shopping downtown this afternoon . would you like to go with me ?  | but you know , i 'm not good at bargaining . how i wish you could help me . ",1
i 'd like to but i have arranged to discuss the project with mister cook . i 'm also going to a party with bill this evening . ,0
that 's true . but it is always too noisy at night . ,2
"i really like living here in this apartment , because it 's just in the central city . ",1
the newspaper says it 'll be cloudy and rainy today . what do you think of it ? ,1
"i do n't believe it . look , the sun is out . there is not one cloud in the sky . ",1
i usually am . but i had thought i could make it before the light turned . ,1
i do n't understand how you got a ticket . i always thought you were a careful driver . ,1
"well , she threw herself in front of a moving truck to save a little boy in the middle of the road . ",1
what ? sarah broke her leg ! what happened ? ,1
it leaves at 10. i 've got 50 minutes left . ,1
what time is your train leaving ?  | you 'd better hurry or you wo n't be able to catch it . ,1
"just look ! the day is lovely . how about a picnic ?  | say.in an hour ?  | fine . while you 're getting everything ready in the house , i 'll go pack the car ",2
"ok by me . how soon do you want to leave ?  | can we make it in an hour and a half ? then we 'll have to take time to make some more food , and besides that , i 'd like to invite nancy and jim . ",2
"yes , i 'm looking for an engagement ring for my girlfriend .  | not really . i 'm not too good at this kind of stuff .  | she really likes colorful stones . i know that she prefers red and yellow . she likes diamonds . but i think she would also like a ruby or something else that 's really bright .  | gold .  | i like that one . do you have anything with a smaller stone ?  | i think this may be the one . i 'm going to send a photo of it to my mom . ",1
"can i help you with anything ?  | congratulations , that is very exciting . do you know what kind of ring you 're looking for ?  | do you know what she likes ?  | we have some gorgeous ruby rings over here . does she like silver or gold ?  | this one here is really nice . the gold band is on the thinner side .  | this one here has a small stone . there was a nice design on the band , too . ",1
i think a mountain village is splendid .  | but it has fresh air and it 's nicer than a big town .  | still i like the small mountain village . the big town is noisy . how pleasant it is when walking along the hill . ,2
"why do you want to spend your summer days in a mountain village ? it 's so far away and lonely .  | i do n't think so . it 's too small .  | i think a big town is more lively .  | i agree with you about that , but i still prefer a big town . ",2
did you get to talk to the browns about their trip to venezuela ?  | what did they say the weather was like ? ,1
"oh yes , they said they had a great time .  | they said it was extremely cool . they suggested that we take some warm clothes . ",2
"excuse me , do you know the time ? my phone 's battery is flat .  | thank you . i 'm going to liverpool and i 'm afraid i will miss the train .  | at 6:40 ?  | thanks a lot . ",1
"it 's 5:30 .  | when does the train leave ?  | well , you can take the underground line 2 and get off at the train station . it will take around half an hour . ",0
"would you like to go to the zoo ?  | yeah , they can do some good things definitely . uh , what is your favorite animal ? ",1
"yes , of course . i like to give all the animals names like birth , the giraffe . but i wish the animals did n't have to be in the zoo . i think it is good when zoos save animals and help make their populations grow .  | my favorite animal ? oh , let me think . i love rabbits , besides i 'd pick the coolest animal the monkey . ",2
"good morning . thank you .  | that 's right .  | yes , madam , if i can .  | well , i have a sister in college now and there will be another one next year . so i have to make a little money for us .  | physics . i really enjoy it .  | oh , sure . my parents said i should decide it myself . ",2
"good morning . have a seat .  | i have your letter here . your name is robert martin , right ?  | and you hope to work here next month ?  | fine . you finished high school a year ago . why did n't you go to college that year ?  | good . it seems that you are a good young man . by the way , what 's your best lesson in high school ?  | that 's fine . have you discussed this with your parents ?  | ok , you can work here , but you better go to college if you have a chance . good luck , young man . ",2
"hi linda , i hear there 's going to be a table tennis match in the sports center this evening .  | yes , it 's true . the chinese team will play the national team from singapore .  | both teams are made up of excellent players , it short to be an exciting game . by the way have you got any tickets ? ",1
"really ?  | that 's great . is it a match between the mens team or the women 's team ?  | not yet , but i hear it is difficult to get a ticket . ",1
"what do you mean ?  | ok. everything about the truck and car is right .  | well , the article says so .  | so it should be bad news for a passenger on the minibus and i guess the information about the car is correct . ",0
"who wrote this ? it 's completely wrong .  | just look at it . the accident was n't on thursday . it was on tuesday . the accident happened at lunch time . really you should remember the fact . it was a girl not a boy lying on the road and she had n't tripped over anything . she had just slipped because the road was wet from the rain .  | i do n't believe you . why do you think there was a truck ?  | do n't believe everything you read . it was a mini bus and the mini bus driver was fine . the person who flew out was a passenger at the front of the minibus .  | it is , but i think that is personal information and we should n't printed in the newspaper so cancel the entire paragraph . ",0
"hello , can i help you ?  | alright . how long will you need it ?  | have you ever rented a car before ?  | sure , we have toyota carola 's in black , red and silver . ",1
"i 'd like to rent a toyota carola .  | for 3 days .  | no , i have n't . can i choose the color of the car ?  | i do n't like black or red . ",1
"what would you like for lunch , miss turner ?  | i do n't wish for much food now .  | no , i had quite a big breakfast this morning .  | a bowl of porridge , four sandwiches and a cup of coffee .  | now let 's not talk about breakfast , but lunch . you would like noodles ? would you like anything to drink ?  | i 'll just have a piece of cake and a cup of tea . ",1
"i would like italian noodles with ham .  | why you are not hungry ?  | what did you eat ?  | that was a lot .  | yes , a cup of tea . ",1
true enough . let 's see what we can do about it . i 'll talk to them first thing in the morning . ,1
"the construction in front of our building has been going on for about 2 months now and it 's driving me crazy . plus , there 's no reason they need to start at 7 o'clock in the morning . ",1
"here with us is marsha ward , author of save your child , which has been sold over 10,000 copies in britain . welcome , marsha . is there a lot to child safety in the home ?  | really , i had no idea that the number was that high .  | is the bathroom the most dangerous room in the house ?  | ok. now is a good time to answer some of our listeners ' questions . hello line 1 . ",2
"definitely . did you know that more than a million children in britain every year require hospital treatment for accidents that happen in the home ?  | yes . and almost all of those accidents could have been prevented . parents can prevent children from falling down the stairs by fitting safety gates . they can use mats to prevent children sleeping on floors , especially in the bathroom . however , children should never be left alone in the bath .  | no , the most dangerous room by far is the kitchen . ",2
"well , summer is peak season , so it 's the most expensive time . why not go later in the year ? ",1
"i wanted to go to spain in august , but it 's so expensive . ",1
"i really like those trousers , but i 'm afraid i do n't have much cash with me . is there a cash point near here please ? ",1
"yes , it 's not far , go out of the shop turn right then right again into avenue dissuade , go up the street to the corner and there on the corner on your right is the cash point next to the bank . there 's a cafe opposite the road . ",1
"honey , you do n't seem to be in a good mood . what 's wrong with you ?  | i certainly have no idea . what did he say to make you so angry ? ",1
"i had a talk with my boss today and i was really angry . i asked him to pay me more each month . and can you guess what he said ?  | he said i was n't good enough for higher pay . i entered the company when i was just 25 years old , and now i 'm 30 years old . should n't i get a pay raise ? ",1
"no , but i ca n't stand him anymore . he 's the worst roommate i 've ever had , he never cleans up after himself and he 's always listening to loud music when i try to get some sleep . ",0
what 's going on between you and charlie ? did you have a fight or something ? ,0
i know my flight was delayed because of the heavy rain . ,1
"hi tom , we had to start the meeting without you .  | but you are just in time for the discussion . ",1
"i 've heard everybody had a good time at cindy 's birthday party last night . i 'm sorry to have missed it .  | oh no , did you see the doctor ? ",1
actually i could n't make it either . i suddenly had a fever yesterday .  | no . i was just in my bed all day long . ,1
"good morning .  | yes , i worked as a bank clerk for 3 years in the bank of china . i must say that it was a good job .  | i did n't really want to , but my family had to move to another city so i left the bank .  | i worked for a private company for 6 months and then i did a one year full-time course in finance and trade .  | um my best quality ? well , i think i 'm a hardworking and responsible person . i guess those are my best qualities . ",2
"good morning .  | mrs wong can you tell me something about your work experience ?  | why did you leave that job since it was such a good job ?  | what did you do after that ?  | what 's your best quality ?  | that is good , the position you applied for requires those qualities . ",2
no way . i never drink super cold stuff . they make my stomach hurt but regular coffee would be fine . ,1
do you want some iced coffee ? ,1
that means you have twenty years to go and then you can quit your job . ,1
"when i 'm 65 , i will get social security payments from the government . ",1
"hi nancy , i work very hard , i get results . i do much more than i really should and nobody notices anyway , i did n't get the promotion this time .  | you know , i get nervous even before entering his office .  | well . i just ca n't .  | ok , i 'll try . ",1
"what is it frank ? you look upset .  | frank i think you need talk with the boss . at least ask for a pay rise or something .  | there is no need to be afraid when you claim something you deserve . i know better than anyone else of how good an employee you are . if it was n't for you getting that $ 2,000,000 deal last month , we would all be at home looking for new jobs now . you need to let the boss see that too .  | how about this ? next week i will invite all the colleagues to my birthday party . our boss will be there , too . maybe you can talk to him then . you know in a much easier environment . ",1
i ca n't find my pencil 's . ,1
i am busy dear . what do you need this time ?  | i put them in your bag this morning . ,1
"how about this skirt , it goes well with your skin . ",1
"hi i 'm looking for a dress for jane 's party this evening . can you give me some advice ?  | really ? ok , i 'll wear it to the party . do you think i should take a handbag with me to the party ? ",1
"i was n't here on friday . my geography class went to a field trip to look at some of the different rocks . in fact , we slept there last night .  | a desert . it gets hot during the day but it cools off very quickly at night .  | i enjoyed it very much although it is very dry . the desert is indeed a wonderful place . i thought of nothing but vastness when i got there . since you can hardly see plants . it 's very easy to find different rocks there . ",1
john i did n't see you in the english class on friday .  | wow sounds interesting . where did you go ?  | well . what do you think of the trip ? ,1
"you will have two hours to wait , be patient . ",1
how can i be patient when i 'm suffering from a toothache . i can hardly stand it . ,0
"hi nancy , i work very hard , i get results . i do much more than i really should and nobody notices anyway , i did n't get the promotion this time . ",1
what is it frank ? you look upset . ,1
"wow , look at all the electronics on sale .  | ok , you 're the boss today . ",1
"that 's not why we 're here , we can look at the electronics department another time , honey .  | well , you promised to buy me a new dress and i need it for the party tomorrow . let 's go upstairs . ",2
sure . ,2
excuse me . i 'm from a new sport shop . can i ask you some questions about water sports ? ,1
"hey jose , what 's up . are you heading to main street , too ? ",1
"yeah , i 'm trying to get there as fast as i can . i need to get some money and order a birthday cake . but first i 've got to mail some letters . ",2
"who ? i do n't really follow sports , is that a good thing ? ",2
"did you hear the warriors won the nba championship ?  | yeah , there from oakland , which is where i live , so i 'm super excited . ",2
"honey , you do n't seem to be in a good mood . what 's wrong with you ?  | i certainly have no idea . what did he say to make you so angry ?  | i certainly think you should get a pay raise ?  | perhaps he knew i make enough money for everything . just cheer up , honey . it 's not a big deal . now smile and forget about what happened today .  | it 's ok. we can eat out with the kids tonight . we have n't eaten out for quite a few days . ",1
"i had a talk with my boss today and i was really angry . i asked him to pay me more each month . and can you guess what he said ?  | he said i was n't good enough for higher pay . i entered the company when i was just 25 years old , and now i 'm 30 years old . should n't i get a pay raise ?  | how i wish you were my boss ! i told my boss that now i need more money to buy a car to raise my kids , and to buy a house . but he just said no .  | ok , but i did n't cook tonight . i was n't in the mood to do that , you know . ",1
"it 's a pain in the neck sharing a room with him .  | well , he is lazy and always leaves the room in a mess . i 'm fed up with him . ",1
"patrick , how do you like your roommate ?  | why is that ? ",1
"i 'd be happy to help , why do n't i take out the rubbish first ? i saw that bag was full . ",2
will you help me clean the house before our dinner party tonight ? we need to sweep the floor before we start cooking . ,2
"yes , alice . how are you ? is there anything wrong ?  | oh , we 're both fine . how is jack ?  | yes , i think you should be . and how are the kids ? ",0
"hello , dad ?  | oh no , i just wanted to call and see how you and mom are . it 's been quite a while since i saw you last time .  | he is fine . he likes his work and got a higher pay last month . we were all pretty pleased about that . ",0
"for about 20 years i guess . i 've never had another job . no . never . i 've only been a musician .  | it was when i was just a kid i taught myself to play . i tried a few instruments . first , the drum . that was when i was only 5 in 1981. after that , it was the piano and then later keyboards . ",1
"paul , how long have you been in the music business ?  | how old were you when you started playing ?  | when did you start playing professionally ? ",1
"hi i ordered some products from your website a week ago , but they have n't arrived yet although you had told me you would ship them one or 2 days after i placed my order .  | ok , i 'll try contacting them to find out what 's taking them so long to deliver the package . thanks a lot . ",1
"hello this is american amazon .  | give me a second sir to track down your order . yes , here it is . the products were shipped on september nineteenth . that 's a day after you place your order . the shipping number is 3356 and the delivery company is blc .  | you 're welcome , sir . if you have any questions , please call me again . ",1
for what ?  | first prize ! congratulations !  | what time shall we go there ?  | alright . i will drive over there . ,1
"let 's go to mcdonald 's this evening . i 'll treat you to dinner .  | good news ! i won first prize in the singing competition .  | so i have invited some friends to share my happiness .  | now , it 's 5:30. let 's go in an hour ok ?  | please come to my house and pick me up . my car is being repaired , you know . ",1
what 's it ?  | what winner ? ,1
good news .  | the ioc president thomas bach announced the winner just now .  | sally bookworm . beijing 's got the right to host the twenty fourth winter olympic games in 2022 . ,2
"how can i help you miss brey ?  | sorry , but order number s35f6 sold out 3 days ago . we will have more available in a week if you would like to wait that long .  | yes , that should n't be a problem . ok , order number s35f6 sweaters , $ 4400 in total .  | yes , this year each sweater has increased by $ 2 . ",1
"first , i 'd like to order 40 sweaters , order number s35f6 .  | yes , i can wait for a week . it 's still quite cold now . i just like to be sure that i can get them within 2 weeks .  | what ? $ 400 ? ",1
"lisa , i 'm going shopping downtown this afternoon . would you like to go with me ?  | but you know , i 'm not good at bargaining . how i wish you could help me . ",1
i 'd like to but i have arranged to discuss the project with mister cook . i 'm also going to a party with bill this evening .  | why not ask mary to go with you . she loves shopping . she can help you . ,0
how was your trip ?  | how long were you gone for ? it felt like years . ,1
"great . i went all over the world . i started out in germany and then made my way to spain and france . after europe , i went to egypt and turkey , then over to india and china . from china , i traveled to thailand and indonesia . then spent some time in australia . i was planning on going to south america , but i ran out of money .  | almost half a year . i was gone for 5 months . it was amazing and i learned so much about myself and the world around me . ",2
"hello ?  | yes , it is .  | the rent is 50 a week and you have to pay weekly on mondays .  | oh , yes , it 's only 5 minutes walk to the underground station . ",1
"hello , i 'm a local student and i 'm reading about the flat that you posted on the website . is it still available ?  | how about the rent ? do you want the rent weekly or monthly ?  | ok. is it near public transport ?  | great . may i come over to see it tomorrow afternoon at about 3:00 pm ? ",1
"did you get to talk to the browns about their trip to venezuela ?  | what did they say the weather was like ?  | did you ask how the hotels were ?  | yeah , that 's what i 've heard . did they say if they had any language problem ?  | well , that 's good . and did they buy much while they were there ? ",1
"oh yes , they said they had a great time .  | they said it was extremely cool . they suggested that we take some warm clothes .  | it seems they 're excellent and not expensive .  | sometimes . they told me that hardly anybody speaks english , except the people on the hotels . but the staff of the hotels are helpful and friendly .  | no , they advised us not to buy clothes . they 're much more expensive than in the states . but they told me you could get gold jewelry for very little . ",2
"hi , jenny , you look great today .  | oh , really ? that 's wonderful .  | i 'd love to . when and where ? ",2
"thanks . you know , i 'm having a birthday party this weekend .  | i 'd be glad if you could come .  | 7:00 pm , saturday night at my dormitory . ",2
"yes , it 's been more than 35 degrees centigrade nearly the whole day !  | well , we did have rain at that time . ",2
"it 's so hot today .  | quite surprising though , the coolest time today was near noon . ",2
i hope so . or i wo n't be able to take part in the meeting about tomorrow 's basketball match . ,2
take the medicine and i 'm sure you will get well again in a couple of hours . ,2
"oh , no . red 's much too bright . i think you should wear your blue one and the great jacket . ",2
i 'm going to wear my red dress to the interview . ,2
"lisa , i 've read your letter . why did you write that ? were you unhappy at working for us ?  | well , have you been given a better offer ? ",0
"no , no , not at all .  | no , it 's my mother . she 's ill. i have to spend much time taking care of her . ",2
yes and i need 9 hours of sleep . ,1
do you get up at 7:00 every morning ? ,1
what a fantastic performance ! thank you for inviting me to the musical . ,2
you are welcome . i 'm happy you enjoy the show . the dancers were amazing . it reminds me of when i used to dance . ,2
i am having trouble with my job . ,1
what is the problem ? ,1
"excuse me , do you know the time ? my phone 's battery is flat .  | thank you . i 'm going to liverpool and i 'm afraid i will miss the train .  | at 6:40 ? ",1
it 's 5:30 .  | when does the train leave ? ,0
"i do n't know . what do you have in mind ?  | i think it 's going to be hot that day and i might get a sunburn . how about the library ?  | that sounds great . but i 'd probably break my arm or something like i did last time .  | well .  | yeah , i remember and the only thing i caught was an old boot . just forget it .  | we could stay home and pop some popcorn and play board games . ",1
"friday , finally . honey , let 's do something fun this weekend .  | we can go to the lake and have a swim .  | the library is boring . then how about going mountain biking ?  | you wo n't this time . come on .  | ok , forget it . how about fishing ? remember the last time we went , i caught like 10 fish .  | ok , what do you suggest ?  | listen , let 's try something fun this time . you wo n't break your arm or get a sunburn . it 'll be really pleasant . just give it a try . come on . let 's do it . come on . ",1
"hello , stella . this is peter .  | could n't be better . i 'm planning a trip to memphis with my family this summer . ",1
"hello ?  | hi , peter . fancy hearing your voice . how are you ?  | great . i 'd love to host you here . when are you coming ? ",1
"yes , i 'm looking for an engagement ring for my girlfriend .  | not really . i 'm not too good at this kind of stuff .  | she really likes colorful stones . i know that she prefers red and yellow . she likes diamonds . but i think she would also like a ruby or something else that 's really bright . ",1
"can i help you with anything ?  | congratulations , that is very exciting . do you know what kind of ring you 're looking for ?  | do you know what she likes ? ",1
what seems to be the matter ?  | i see and how long have you had this problem ?  | 2 weeks ? do you have headaches ?  | fever ?  | are you having any family problems ?  | and how about work ? ,1
"i just ca n't sleep well , doctor .  | oh , for about 2 weeks now .  | sometimes .  | no .  | no , not really , we all get along pretty well .  | well i 've been working a lot lately . more than 11 hours a day . ",1
"what would you like for lunch , miss turner ?  | i do n't wish for much food now .  | no , i had quite a big breakfast this morning .  | a bowl of porridge , four sandwiches and a cup of coffee .  | now let 's not talk about breakfast , but lunch . you would like noodles ? would you like anything to drink ? ",1
"i would like italian noodles with ham .  | why you are not hungry ?  | what did you eat ?  | that was a lot .  | yes , a cup of tea . ",1
"lucy , how was your first day of school ? ",2
"it was great , dad . ",1
"claudia , it 's professor albby .  | fine , thanks . miss leska is sick today . she has a class from 2:00 to 4:00 pm . can you teach her class ?  | oh , i see . gee . i do n't know what to do . ",1
"of course i 'll pick you up kevin . you 're my favorite cousin . great . i 'll see you at 3:00 o'clock . have a great trip . bye . hello ?  | oh , hi , professor albby . how are you ?  | oh , sorry . my cousin is visiting this week from seattle and he arrives today at 3:00 .  | well , wait . listen , my roommate terra can go to the bus station and meet my cousin . miss leska always helps me . ",2
"hi linda , i hear there 's going to be a table tennis match in the sports center this evening .  | yes , it 's true . the chinese team will play the national team from singapore . ",1
really ? ,1
"yes , alice . how are you ? is there anything wrong ?  | oh , we 're both fine . how is jack ? ",0
"hello , dad ?  | oh no , i just wanted to call and see how you and mom are . it 's been quite a while since i saw you last time . ",0
"ella , look at my new computer . i bought it awhile ago . my old one is hard to use .  | not really , considering how much i can do . ",1
oh . it looks cool . it must be quite expensive . ,1
"i was doing my homework at roger 's house , then we watched a bit of the soccer match on his new tv . ",1
"why are you so late for home from school , david ? ",1
what 's wrong with you ? you look so upset . ,0
"tom never keeps his word , he promised to return my $ 50 last month , but he only gave me $ 15 last week . ",1
"honey , you do n't seem to be in a good mood . what 's wrong with you ?  | i certainly have no idea . what did he say to make you so angry ?  | i certainly think you should get a pay raise ?  | perhaps he knew i make enough money for everything . just cheer up , honey . it 's not a big deal . now smile and forget about what happened today .  | it 's ok. we can eat out with the kids tonight . we have n't eaten out for quite a few days . ",1
"i had a talk with my boss today and i was really angry . i asked him to pay me more each month . and can you guess what he said ?  | he said i was n't good enough for higher pay . i entered the company when i was just 25 years old , and now i 'm 30 years old . should n't i get a pay raise ?  | how i wish you were my boss ! i told my boss that now i need more money to buy a car to raise my kids , and to buy a house . but he just said no .  | ok , but i did n't cook tonight . i was n't in the mood to do that , you know .  | jerry and lucy will be happy about that . ",1
"sure .  | oh , yes , a lot .  | no , i 'd like to . but i do n't know anybody with a boat .  | i sometimes go windsurfing . ",2
excuse me . i 'm from a new sport shop . can i ask you some questions about water sports ?  | do you ever go swimming ?  | and do you ever go sailing ?  | ok. how about other water sports ? ,1
"where 's grandmother , mum ? has she gone swimming again ? she 's got an email . ",1
"she went earlier , but she 's back now and she 's taking a bath upstairs . ",2
"i 'm sorry , i 'll watch this movie later . ",0
could you turn the tv down ? i 'm trying to study and the noise is bothering me . ,0
"it was great , mary . how was yours ? ",2
"hi jeff , how was your weekend ?  | my mother 's birthday was saturday and we had a great time . we had dinner at home and then watched an old movie . when they told me it was almost 70 years old . i thought it was going to be boring . but it was one of the best movies i 've ever seen . i could n't take my eyes off the screen . i laughed , i cried , i got angry . ",2
"you can always take the subway , it is convenient and comfortable . ",2
"i 'm flying to tokyo this afternoon , but i 'm too tired to drive to the airport . ",1
"i was n't here on friday . my geography class went to a field trip to look at some of the different rocks . in fact , we slept there last night . ",1
john i did n't see you in the english class on friday . ,1
"how about this skirt , it goes well with your skin . ",1
hi i 'm looking for a dress for jane 's party this evening . can you give me some advice ? ,1
"it has been raining since monday , but the weather report says that tomorrow will be clear and sunny . thank goodness . we can at last say goodbye to the rain . ",1
"really ? you know i always play football on saturday . that 's really good news , which means i can play in good weather tomorrow . ",2
"good morning .  | yes , i worked as a bank clerk for 3 years in the bank of china . i must say that it was a good job .  | i did n't really want to , but my family had to move to another city so i left the bank .  | i worked for a private company for 6 months and then i did a one year full-time course in finance and trade .  | um my best quality ? well , i think i 'm a hardworking and responsible person . i guess those are my best qualities .  | yes , a good sales manager should work hard and be responsible . ",2
"good morning .  | mrs wong can you tell me something about your work experience ?  | why did you leave that job since it was such a good job ?  | what did you do after that ?  | what 's your best quality ?  | that is good , the position you applied for requires those qualities .  | yet we want an experienced person and you have n't worked in this position before . ",2
"how often should i take the medison and how many should i take ?  | thank you , i will . ",2
"take two pills every half day , you 'll be better soon . ",1
"ok , i got my vacation early this year , so as soon as school 's out the first of june we have 2 weeks to have fun . we 've talked about this before , and have chosen 2 possibilities . a trip across canada or explore florida , which will it be ?  | we should get on the internet and check flight schedules as soon as possible . i remember a ticket costs $ 500 . they may still have that promotion where a second person flies for half price . that means the four of us can go for the cost of 3 .  | your mother and i will take care of the driving and make hotel reservations . so you and tim will plan the sightseeing . is that a deal ? ",2
"i 'd like to go to florida . i 've always wanted to visit orlando .  | orlando here we come , but we wo n't spend the whole 2 weeks there , will we ? i heard saint augustine was cool and there 's daytona beach , where you can drive on the beach .  | yeah , great . ",1
"yeah , i think it 's very interesting . in my country , students often go to school from 7:30 in the morning until 5:30 in the afternoon .  | actually 5 and 1/2 . on saturday , there is only 1/2 day . ",2
"hi john , are you used to the curriculum in our school ?  | 5 days a week too . ",2
i need to return this pair of pants . they have a hole in them .  | just 50 % ? it 's not my fault that they have a whole . i just want to refund . ,1
"ok , sir , i can give you 50 % off a new pair . ",2
"but the dolphin show starts in 2 minutes . i really want to see that , we can get a cup of tea afterwards . ",1
let 's get something to drink and then go and see the elephants .  | good idea . ,1
"i heard you topped the class in the exams .  | great , congratulations . ",1
"yes , sir . ",2
"i really like those trousers , but i 'm afraid i do n't have much cash with me . is there a cash point near here please ? ",1
"yes , it 's not far , go out of the shop turn right then right again into avenue dissuade , go up the street to the corner and there on the corner on your right is the cash point next to the bank . there 's a cafe opposite the road . ",1
"hello . is that doctor brown 's office , please ?  | yes , my name is jim anderson and i 'm hoping i can come this afternoon to see the doctor .  | well , i 've got a pain in my left eye and i do n't know the cause of it .  | it 's not that serious , but i 'm worried . so can i come this afternoon ?  | does doctor brown work in the evening ? i 'm really worried , you know . ",1
"yes , but doctor brown is busy now . is there anything i can do for you ?  | so what seems to be the problem ?  | is it serious ?  | i 'm sorry , but doctor brown will be busy the whole afternoon . what about tomorrow morning ?  | sorry , but tomorrow morning at 10:00 is ok for you to come . ",1
i 'll go for a pizza . i 've been thinking about it all day long . ,1
i 'll order a burger and some dessert . what about you ? ,1
"well , in fact i 'm looking for a flat round here .  | yes , actually . believe it or not , mandy and i are getting married .  | only last week . it was when we were staying with her family in schottland . now we 're trying to find a suitable flat .  | we are n't looking for one to buy . we do n't have enough money yet . we want to find somewhere to rent . ",1
"hello , mike . what are you doing in this part of london ?  | a flat ? do you want to move ?  | it 's great . congratulations . when did you decide ?  | it will be great to have you as neighbors . i hope you manage to buy one soon .  | yes , of course , that 's what we did at first . in fact , in the end my brother lent us some money . that 's how we managed to buy ours . ",1
"speaking .  | sure . well it was 2 days ago on november the tenth about 11:00 pm . i decided to fry some chips so i used quite a lot of oil . i was deep frying . uhm the oil finally got hot enough , so i put the chips in and then my mom ringed .  | we started talking and i completely forgot about the chips . after the call . i just went back to my living room .  | yes , i watch tv for about 20 minutes and the next thing i knew there was the smell of smoke in someone was shouting fire fire . i immediately realized it was my chips . i rushed out of the room . the kitchen was next door . well , there were flames all over one wall . ",1
